source	target	value
https://github.com/domainxz/vcrs	Academiccourses	1
https://github.com/niyatpatel23295/Apache-Spark-Recommender-System	Academiccourses	1
https://github.com/rzere/Course_Timetabling_Research	Academiccourses	1
https://github.com/soulslash13/For-a-Brighter-Future	Gamesoflearning	1
https://github.com/asketsus/Wikicode-for-Moodle-2	Academiccourses	1
https://github.com/usnistgov/CRPI	Academiccourses	1
https://github.com/jenreiher/wtfiswednesdays	Academiccourses	1
https://github.com/shannonpeng/plix	Academiccourses	1
https://github.com/otavio-cesar/cetecop	Platforms	1
https://github.com/otavio-cesar/cetecop	Academiccourses	1
https://github.com/OpenHID/code-vr	Gamesoflearning	1
https://github.com/18sears-nathan/ChatProgram2016	Academiccourses	1
https://github.com/HPCGISLab/pcml	Academiccourses	1
https://github.com/JonathanRys/OrganismIdent	Academiccourses	1
https://github.com/dimroc/collabcode	Academiccourses	1
https://github.com/vbsteja/deeplearning1	Academiccourses	1
https://github.com/KyleZcode/gittinZiggyWithIt	Academiccourses	1
https://github.com/Zayd-Waves/cipher	Academiccourses	1
https://github.com/lambdaone-io/apprentice-resources	Academiccourses	1
https://github.com/snh-clj/collab	Academiccourses	1
https://github.com/hopelessoptimism/mondocode	Academiccourses	1
https://github.com/mldss/pci-summary	Academiccourses	1
https://github.com/ctuning/ctuning-datasets-min	Application Programming Interface (API)	1
https://github.com/radiatoryang/nyu_studio_spring2014	Academiccourses	1
https://github.com/radiatoryang/nyu_studio_spring2014	Gamesoflearning	1
https://github.com/BenchR267/lbd	Developmentoftools	1
https://github.com/ats-lang/ATS-CodeBook	Academiccourses	1
https://github.com/braydie/HowToBeAProgrammer	Academiccourses	1
https://github.com/xviniette/FlappyLearning	Academiccourses	1
https://github.com/ctuning/reproduce-milepost-project	Academiccourses	1
https://github.com/elixirschool/elixirschool	Academiccourses	1
https://github.com/chetannaik/learning_torch	Academiccourses	1
https://github.com/MikeTheWatchGuy/PySimpleGUI	Application Programming Interface (API)	1
https://github.com/lenmus/lenmus	Academiccourses	1
https://github.com/JoshCheek/ruby-kickstart	Academiccourses	1
https://github.com/ehmatthes/intro_programming	Academiccourses	1
https://github.com/maximecb/toyCPU	Platforms	1
https://github.com/codebasics/py	Academiccourses	1
https://github.com/ollie-williams/SwiftParsec	Academiccourses	1
https://github.com/timestocome/Test-stock-prediction-algorithms	Academiccourses	1
https://github.com/ALRW/dayAsADev	Academiccourses	1
https://github.com/thebreadboard/Arduino-Tutorials	Academiccourses	1
https://github.com/wsnewman/learning_ros	Academiccourses	1
https://github.com/ajielee/mini-projects-while-learning-python	Academiccourses	1
https://github.com/adafruit/Adafruit_Learning_System_Guides	Academiccourses	1
https://github.com/GersonLazaro/learn-x-if-you-know-y	Academiccourses	1
https://github.com/jondot/awesome-aha	Academiccourses	1
https://github.com/LambdaSchool/ML-Precourse	NeuralNetworks	1
https://github.com/aliostad/deep-learning-lang-detection	Academiccourses	1
https://github.com/BoYanSTKO/Practical_RL-coursera	Academiccourses	1
https://github.com/dstarcev/stepic-haskell	Academiccourses	1
https://github.com/Re1tReddy/Spark	Application Programming Interface (API)	1
https://github.com/rojassergio/Learning-Scipy	Academiccourses	1
https://github.com/khanhnamle1994/complete-guide-to-deep-learning	Academiccourses	1
https://github.com/zhtpandog/One_Hundred_Tricky_Java_Questions	Platforms	1
https://github.com/zhtpandog/One_Hundred_Tricky_Java_Questions	Academiccourses	1
https://github.com/imaginate/algorithmIV-question-manager	Academiccourses	1
https://github.com/theusual/kaggle-yelp-business-rating-prediction	Academiccourses	1
https://github.com/mikesprague/udacity-nanodegrees	Academiccourses	1
https://github.com/SentientOrange/Rubiks-Cube	Academiccourses	1
https://github.com/jashmenn/bitcoin-reading-list	Academiccourses	1
https://github.com/aeshthetic/Learn-to-Program	Academiccourses	1
https://github.com/RiccardoM/Forex-and-Stock-Python-Pattern-Recognizer	Academiccourses	1
https://github.com/underscoreio/creative-scala	Academiccourses	1
https://github.com/maxritter/SDC-End-to-end-driving	Academiccourses	1
https://github.com/crazydonkey200/neural-symbolic-machines	Academiccourses	1
https://github.com/smbriones/c-how-to-program	Academiccourses	1
https://github.com/alex520biao/Learning-OpenGL-ES-for-iOS	Academiccourses	1
https://github.com/MihaiDamian/Machine-learning-programming-exercises	Academiccourses	1
https://github.com/mauricesharp/Learning-iOS-Development	Academiccourses	1
https://github.com/oracle/dino-date	Platforms	1
https://github.com/gaerae/awesome-algorithms	Academiccourses	1
https://github.com/gafiatulin/ml-class	Academiccourses	1
https://github.com/Nugnikoll/MyReversi	Gamesoflearning	1
https://github.com/marcelgsantos/learning-oop-in-php	Academiccourses	1
https://github.com/freddiev4/dailyprogrammerchallenges	Academiccourses	1
https://github.com/monochromegane/starchart	Developmentoftools	1
https://github.com/tostq/DeepLearningC	Academiccourses	1
https://github.com/myinnos/Kotlin-Example	Academiccourses	1
https://github.com/IEEEXtreme/Learning-Resources	Academiccourses	1
https://github.com/saraswat/NeuralProgrammerAsProbProg	Gamesoflearning	1
https://github.com/HeroKillerEver/coursera-deep-learning	Academiccourses	1
https://github.com/simonebrunozzi/open-guide-to-learning-tech-geek-nerdy-stuff	Academiccourses	1
https://github.com/sassela/haskell-learning	Academiccourses	1
https://github.com/AvaisP/machine-learning-programming-assignments-coursera-andrew-ng	Academiccourses	1
https://github.com/off99555/machine-learning-curriculum	Platforms	1
https://github.com/off99555/machine-learning-curriculum	Academiccourses	1
https://github.com/Lyyoness/CS156-Machine-Learning	Application Programming Interface (API)	1
https://github.com/xviniette/AsteroidsLearning	Academiccourses	1
https://github.com/Lyyoness/CS156-Machine-Learning	Developmentoftools	1
https://github.com/Lyyoness/CS156-Machine-Learning	Academiccourses	1
https://github.com/Lyyoness/CS156-Machine-Learning	Gamesoflearning	1
https://github.com/foolalex/CS106A	Academiccourses	1
https://github.com/foolalex/CS106A	Platforms	1
https://github.com/foolalex/CS106A	Gamesoflearning	1
https://github.com/jalexanderqed/cs165a-reversi-bot	Academiccourses	1
https://github.com/jalexanderqed/cs165a-reversi-bot	Gamesoflearning	1
https://github.com/TamuccComputerScienceClub/CSClubTextBasedGame2016	Gamesoflearning	1
https://github.com/kdenhartog/CS1-Fundementals	Academiccourses	1
https://github.com/kimasenbeck/cs111_finalProject_201409	Academiccourses	1
https://github.com/kimasenbeck/cs111_finalProject_201409	Gamesoflearning	1
https://github.com/michaelsblank/cs193p_project1_fall2017	Academiccourses	1
https://github.com/BassemGhoniem/CS106aStanford	Academiccourses	1
https://github.com/theSalafee/C169final	Academiccourses	1
https://github.com/JeffreyMJohnson/Pong	Academiccourses	1
https://github.com/JeffreyMJohnson/Pong	Gamesoflearning	1
https://github.com/mlopezbuendia/CreativeProgrammingA1	Academiccourses	1
https://github.com/SpencerWF/PythonRevewCourse	Academiccourses	1
https://github.com/aytida23/Python-Programming-Essentials-Coursera-Projects	Academiccourses	1
https://github.com/Preston-Sundar/Coursera-Imperial-College-London-Mathematics-For-Machine-Learning-Linear-Algebra	Academiccourses	1
https://github.com/voter101/principles-of-reactive-programming	Academiccourses	1
https://github.com/hackprime/algs4	Academiccourses	1
https://github.com/JeffreyMJohnson/Pong	Academiccourses	1
https://github.com/JeffreyMJohnson/Pong	Gamesoflearning	1
https://github.com/tuttiq/MaquinaVirtual	Platforms	1
https://github.com/tuttiq/MaquinaVirtual	Academiccourses	1
https://github.com/irJERAD/ExData_Proj2	Academiccourses	1
https://github.com/jjmmg/Courses	Academiccourses	1
https://github.com/SushmitaY/Algorithm-assignment	Platforms	1
https://github.com/SushmitaY/Algorithm-assignment	Application Programming Interface (API)	1
https://github.com/SushmitaY/Algorithm-assignment	Academiccourses	1
https://github.com/DA0155/CourseraCleanData-HumanActivity	Academiccourses	1
https://github.com/MariannaAtPlay/reactnd-project-would-you-rather	Academiccourses	1
https://github.com/terrettaz/coursera-scalashop	Academiccourses	1
https://github.com/mrtamtam314/RProgrammingAssignment2	Academiccourses	1
https://github.com/Starkey19/PT-Coursework	Academiccourses	1
https://github.com/alandickinson/reactnd-myreads	Academiccourses	1
https://github.com/mch649/ProgrammingAssignment2	Academiccourses	1
https://github.com/qlibin/posa-15-assignment3-studio	Platforms	1
https://github.com/qlibin/posa-15-assignment3-studio	Academiccourses	1
https://github.com/Deirdre18/Professional-Portfolio-Website-GMIT-	Platforms	1
https://github.com/Deirdre18/Professional-Portfolio-Website-GMIT-	Academiccourses	1
https://github.com/mlopezbuendia/CreativeProgrammingA1	Platforms	1
https://github.com/mlopezbuendia/CreativeProgrammingA1	Application Programming Interface (API)	1
https://github.com/mlopezbuendia/CreativeProgrammingA1	Academiccourses	1
https://github.com/JasperDre/Honeybees	Academiccourses	1
https://github.com/hanzhao1/JS-Fundamentals	Academiccourses	1
https://github.com/sergiolpf/myreads	Academiccourses	1
https://github.com/holystar1076/Assessment5	Academiccourses	1
https://github.com/LuisaSanto/ist-LDM	Academiccourses	1
https://github.com/bhaskar-codes-121/Object-Oriented-Programming-in-Java	Academiccourses	1
https://github.com/skyman/StudentPerformanceAnalysis	Academiccourses	1
https://github.com/gsmanu007/R_coursera-ProgrammingAssignment2	Academiccourses	1
https://github.com/marisapels/OOP-Module3-SelfAssessmentLab	Academiccourses	1
https://github.com/danieltoomey/coursera-r-programming	Academiccourses	1
https://github.com/YuriyMorozyuk95/Dekanat	Academiccourses	1
https://github.com/rakofff/Cashe-Matrix-Inverse-R	Academiccourses	1
https://github.com/mevorama/PeerAssessment	Academiccourses	1
https://github.com/theSalafee/C169final	Academiccourses	1
https://github.com/JonnoB/datasciencecoursera	Academiccourses	1
https://github.com/ClarkWang12/ProgrammingAssignment2	Academiccourses	1
https://github.com/aaronly/ScriptingProgrammingAssessment	Academiccourses	1
https://github.com/daspliff/r_programming	Academiccourses	1
https://github.com/gizzle-b/java-programming	Academiccourses	1
https://github.com/GibbonEdu/module-ATL	Academiccourses	1
https://github.com/Preston-Sundar/Coursera-Imperial-College-London-Mathematics-For-Machine-Learning-Linear-Algebra	Academiccourses	1
https://github.com/std3rr/boston_housing	Academiccourses	1
https://github.com/LuisaSanto/ist-LDM	Academiccourses	1
https://github.com/limpygnome/pals	Academiccourses	1
https://github.com/shane1027/Learning_CPP	Application Programming Interface	1
https://github.com/JaclynNoga/AppliedLearningAssessment	Application Programming Interface	1
https://github.com/mrkwse/MLAP-OA	Application Programming Interface	1
https://github.com/bamcdougall/Predictive_Machine_Learning_Human_Activity_Assessment	Predictionbasedonstatisticalmethods	1
https://github.com/jesign/heuricode	Developmentoftools	1
https://github.com/cysun/csns2	Developmentoftools	1
